shot,time,time_until_disrupt,n_e,ip,li,Wmhd,kappa
1050210001,1.5999999046325684,,8.0260390585788e+19,-675394.625,1.539430856704712,28274.60546875,1.4938572645187378
1050803007,1.5999999046325684,,1.0900258330999207e+20,-494099.15625,1.4344717264175415,17922.53515625,1.539414644241333
1140826022,1.5999999046325684,,1.4943585678405927e+20,-722704.625,1.602286696434021,27165.962890625,1.4829599857330322
1140619005,1.5999999046325684,,1.055383036458466e+20,573605.6875,1.0928242206573486,28242.099609375,1.1325808763504028
1160504023,1.5999999046325684,,7.735628130966884e+19,-533709.875,1.8376498222351072,5194.74560546875,1.526287317276001
1120801018,1.5999999046325684,,1.205591893897317e+20,-719459.875,1.6604158878326416,34539.58984375,1.5712310075759888
1120221014,1.5999999046325684,,7.0730171241900016e+19,-686575.25,1.6641037464141846,21013.033203125,1.5377349853515625
1140408008,1.5999999046325684,,1.0929632004037568e+20,672584.4375,1.7219794988632202,23118.66796875,1.482660174369812
1050315021,1.5999999046325684,,1.250065907787833e+20,-668443.375,1.601632833480835,19722.275390625,1.4638872146606445
1120531012,1.5999999046325684,,1.4223906939514913e+20,-655740.25,1.615886926651001,24043.126953125,1.5917824506759644
1150623001,1.5999999046325684,,1.3887386003072672e+20,-639735.688878951,1.58340179920197,24097.83203125,1.69570255279541
1051117022,1.5999999046325684,,1.285281593967824e+20,-807198.75,1.3898719549179077,38282.875,1.5693562030792236
1120224020,1.5999999046325684,,1.1984134903428232e+20,-862761.375,1.5504262447357178,32101.673828125,1.589124321937561
1140805023,1.5999999046325684,,2.3577158567498403e+20,-642361.25,1.4329859018325806,37963.46875,1.6522324085235596
1150903001,1.5999999046325684,,1.1961924434113557e+20,-592605.093135063,1.77307724952698,20691.056640625,1.52194797992706
1160831012,1.5999999046325684,,6.640955673767051e+19,671427.25,1.6613606214523315,25055.544921875,1.593808889389038
1050210003,1.5999999046325684,,9.373577639739208e+19,-675086.375,1.5449374914169312,26663.8828125,1.4996312856674194
1050329005,1.5999999046325684,,1.204189005021205e+20,-808173.9375,1.4432315826416016,42771.78515625,1.5495426654815674
1120808026,1.5999999046325684,,7.3862147705806e+19,-415414.375,1.7980631589889526,4616.84375,1.6355856657028198
1050810014,1.5999999046325684,,2.1906407548236962e+20,-853805.75,1.3349281549453735,48771.0859375,1.534399390220642
1051129017,1.5999999046325684,,1.6789679775190666e+20,-817269.1875,1.4637101888656616,37981.53515625,1.5974339246749878
1150804003,1.5999999046325684,,1.2056402791385501e+20,-795780.436493739,1.46261703968048,39670.71875,1.62022542953491
1160630025,1.5999999046325684,,2.1100699501151545e+20,-807547.5,1.539742350578308,35728.3515625,1.4926520586013794
1160805019,1.5999999046325684,,1.3200304714911266e+20,604933.25,2.057089328765869,18375.98828125,1.501760721206665
1051201017,1.5999999046325684,,2.7740660776602436e+20,-815304.0,1.3160533905029297,54394.703125,1.6101971864700317
1140220023,1.600000023841858,0.19910001754760742,1.6683030665733603e+20,806046.625,1.607203722000122,31776.05078125,1.552415370941162
1120125011,1.600000023841858,0.211899995803833,1.6156512370391672e+20,-668672.75,1.6635886430740356,23412.853515625,1.5069363117218018
1160405026,1.600000023841858,0.13769996166229248,1.169305283391872e+20,-673120.875,1.8442816734313965,18372.58984375,1.5523287057876587
1120920009,1.600000023841858,0.0866999626159668,1.426666650691447e+20,874557.0625,1.5038243532180786,64540.78125,1.511368751525879
1120508029,1.600000023841858,0.10389995574951172,1.1058875637640777e+20,-641691.5625,1.7060456275939941,19744.0859375,1.6025348901748657
1120919016,1.600000023841858,0.11469995975494385,1.1340425381142122e+20,894852.25,1.445353865623474,45331.56640625,1.536745309829712
1140408029,1.600000023841858,0.16170001029968262,1.1485412262036478e+20,669592.9375,1.654961347579956,26652.798828125,1.4870396852493286
1160406025,1.600000023841858,0.10869991779327393,1.0359350507082246e+20,-726959.875,1.7128404378890991,23919.029296875,1.5081758499145508
1150710005,1.600000023841858,0.4852999448776245,4.834170389045279e+19,-601518.719141324,1.80977272987366,8006.0400390625,1.58732461929321
1140204021,1.600000023841858,0.20190000534057617,1.435927705190809e+20,809826.8125,1.6728113889694214,26840.685546875,1.5372246503829956
1140814019,1.600000023841858,0.0317000150680542,5.2200211730153865e+19,-672217.875,1.7472519874572754,16329.2900390625,1.529663324356079
1050526014,1.600000023841858,0.15530002117156982,2.323943785356654e+20,-855640.3125,1.434266448020935,52988.8828125,1.595323085784912
